sub_region_1,date,workplaces_percent_change_from_baseline,Predicted
California,1/1/2022,-48,-27.10997399
California,1/1/2022,-50,-26.73127007
California,1/1/2022,-37,-19.09220297
California,1/1/2022,-45,-23.91214014
California,1/1/2022,-36,-15.63105585
California,1/1/2022,-48,-39.23535735
California,1/1/2022,-42,-28.55594945
California,1/1/2022,-45,-23.67233054
California,1/1/2022,-32,-24.07473586
California,1/1/2022,-55,-38.83910631
California,1/1/2022,-38,-31.92138825
California,1/1/2022,-47,-26.58530668
California,1/1/2022,-42,-21.6537581
California,1/1/2022,-36,-20.71616434
California,1/1/2022,-50,-22.04808802
California,1/1/2022,-29,-15.08599486
California,1/1/2022,-53,-34.65694205
California,1/1/2022,-35,-20.70137173
California,1/1/2022,-49,-35.18468232
California,1/1/2022,-40,-21.47376779
California,1/1/2022,-53,-34.95943924
California,1/1/2022,-48,-31.5374892
California,1/1/2022,-36,-29.1576409
California,1/1/2022,-42,-23.42990257
California,1/1/2022,-42,-20.48838407
California,1/1/2022,-44,-29.61056016
California,1/1/2022,-50,-27.70647877
California,1/1/2022,-42,-25.0573859
California,1/1/2022,-48,-20.63733388
California,1/1/2022,-32,-14.99981158
California,1/1/2022,-23,-19.66442563
California,1/1/2022,-43,-26.83665163
California,1/1/2022,-46,-24.05604352
California,1/1/2022,-45,-21.02515691
California,1/1/2022,-27,-25.43062563
California,1/1/2022,-45,-21.93160217
California,1/1/2022,-55,-32.58550025
California,1/1/2022,-35,-30.13848721
California,1/1/2022,-30,-24.14905956
Pennsylvania,1/1/2022,-49,-33.7679874
Pennsylvania,1/1/2022,-47,-33.52288136
Pennsylvania,1/1/2022,-50,-30.31607788
Pennsylvania,1/1/2022,-48,-33.15158922
Pennsylvania,1/1/2022,-48,-31.63753522
Pennsylvania,1/1/2022,-51,-34.02080903
Pennsylvania,1/1/2022,-44,-31.82551551
Pennsylvania,1/1/2022,-47,-29.23846993
Pennsylvania,1/1/2022,-48,-30.83942273
Pennsylvania,1/1/2022,-49,-37.71485985
Pennsylvania,1/1/2022,-46,-29.42502629
Pennsylvania,1/1/2022,-43,-29.10371279
Pennsylvania,1/1/2022,-43,-29.77388081
Pennsylvania,1/1/2022,-51,-32.31772927
Pennsylvania,1/1/2022,-49,-28.62463462
Pennsylvania,1/1/2022,-51,-33.64406285
Pennsylvania,1/1/2022,-45,-37.90647326
Pennsylvania,1/1/2022,-49,-33.5426047
Pennsylvania,1/1/2022,-49,-38.9381375
Pennsylvania,1/1/2022,-49,-34.22066686
Pennsylvania,1/1/2022,-35,-24.26688084
Pennsylvania,1/1/2022,-42,-31.54274834
Pennsylvania,1/1/2022,-47,-26.73978417
Wyoming,1/1/2022,-35,-29.49402195
Wyoming,1/1/2022,-40,-24.1565118
California,1/2/2022,-21,-15.195005
California,1/2/2022,-18,-14.899745
California,1/2/2022,-22,-21.19631769
California,1/2/2022,-11,-16.86224875
California,1/2/2022,-11,-18.93506073
California,1/2/2022,-16,-20.77913988
California,1/2/2022,-10,-15.16743618
California,1/2/2022,-14,-14.70443408
California,1/2/2022,-22,-21.49242008
California,1/2/2022,-9,-15.93272374
California,1/2/2022,-13,-19.91720598
California,1/2/2022,-20,-26.20851329
California,1/2/2022,-6,-13.40734441
California,1/2/2022,-15,-14.5687151
California,1/2/2022,-13,-8.864746565
California,1/2/2022,-16,-16.82372682
California,1/2/2022,-8,-18.31369692
California,1/2/2022,-20,-23.62007518
California,1/2/2022,-16,-15.98578633
California,1/2/2022,-23,-26.48797773
California,1/2/2022,-19,-17.63770976
California,1/2/2022,-13,-18.93085626
California,1/2/2022,-11,-16.45149193
California,1/2/2022,-20,-23.09345838
California,1/2/2022,-22,-15.98192587
California,1/2/2022,-21,-18.57526119
California,1/2/2022,-9,-16.22314296
California,1/2/2022,-20,-14.19685599
California,1/2/2022,-14,-14.41533747
California,1/2/2022,-20,-20.83748425
California,1/2/2022,-19,-15.60347082
California,1/2/2022,-18,-18.4834939
California,1/2/2022,-19,-14.34360586
California,1/2/2022,-21,-17.20537223
California,1/2/2022,-12,-13.92148848
Pennsylvania,1/2/2022,-19,-13.49254867
Pennsylvania,1/2/2022,-14,-13.19843326
